year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2016,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,3,73.75,0.04067796610169491
2017,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,0,51,0
2018,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,0,33.91,0
2019,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,2,45.6,0.043859649122807015
2014,"Great Egret",Ardea alba,24,56.5,0.4247787610619469
2015,"Great Egret",Ardea alba,14,85.5,0.16374269005847952
2016,"Great Egret",Ardea alba,10,73.75,0.13559322033898305
2017,"Great Egret",Ardea alba,0,51,0
2018,"Great Egret",Ardea alba,2,33.91,0.058979652020053085
2019,"Great Egret",Ardea alba,10,45.6,0.21929824561403508
2014,"Snowy Egret",Egretta thula,32,56.5,0.5663716814159292
2015,"Snowy Egret",Egretta thula,19,85.5,0.2222222222222222
2016,"Snowy Egret",Egretta thula,16,73.75,0.21694915254237288
2017,"Snowy Egret",Egretta thula,24,51,0.47058823529411764
2018,"Snowy Egret",Egretta thula,17,33.91,0.5013270421704512
2019,"Snowy Egret",Egretta thula,44,45.6,0.9649122807017544
2014,"Little Blue Heron",Egretta caerulea,4,56.5,0.07079646017699115
2015,"Little Blue Heron",Egretta caerulea,10,85.5,0.11695906432748537
2016,"Little Blue Heron",Egretta caerulea,9,73.75,0.12203389830508475
2017,"Little Blue Heron",Egretta caerulea,2,51,0.0392156862745098
2018,"Little Blue Heron",Egretta caerulea,7,33.91,0.2064287820701858
2019,"Little Blue Heron",Egretta caerulea,5,45.6,0.10964912280701754
2014,"Tricolored Heron",Egretta tricolor,1,56.5,0.017699115044247787
2015,"Tricolored Heron",Egretta tricolor,1,85.5,0.011695906432748537
2016,"Tricolored Heron",Egretta tricolor,4,73.75,0.05423728813559322
2017,"Tricolored Heron",Egretta tricolor,0,51,0
2018,"Tricolored Heron",Egretta tricolor,0,33.91,0
2019,"Tricolored Heron",Egretta tricolor,14,45.6,0.30701754385964913
2014,"Reddish Egret",Egretta rufescens,0,56.5,0
2015,"Reddish Egret",Egretta rufescens,0,85.5,0
2016,"Reddish Egret",Egretta rufescens,1,73.75,0.013559322033898305
2017,"Reddish Egret",Egretta rufescens,0,51,0
2018,"Reddish Egret",Egretta rufescens,0,33.91,0
2019,"Reddish Egret",Egretta rufescens,0,45.6,0
2014,"Cattle Egret",Bubulcus ibis,401,56.5,7.097345132743363
2015,"Cattle Egret",Bubulcus ibis,118,85.5,1.3801169590643274
2016,"Cattle Egret",Bubulcus ibis,136,73.75,1.8440677966101695
2017,"Cattle Egret",Bubulcus ibis,119,51,2.3333333333333335
2018,"Cattle Egret",Bubulcus ibis,27,33.91,0.7962253022707166
2019,"Cattle Egret",Bubulcus ibis,66,45.6,1.4473684210526316
2014,"Green Heron",Butorides virescens,1,56.5,0.017699115044247787
2015,"Green Heron",Butorides virescens,3,85.5,0.03508771929824561
2016,"Green Heron",Butorides virescens,3,73.75,0.04067796610169491
2017,"Green Heron",Butorides virescens,2,51,0.0392156862745098
2018,"Green Heron",Butorides virescens,5,33.91,0.14744913005013272
2019,"Green Heron",Butorides virescens,4,45.6,0.08771929824561403
2014,"Black-crowned Night-Heron",Nycticorax nycticorax,0,56.5,0
2015,"Black-crowned Night-Heron",Nycticorax nycticorax,0,85.5,0
2016,"Black-crowned Night-Heron",Nycticorax nycticorax,0,73.75,0
2017,"Black-crowned Night-Heron",Nycticorax nycticorax,0,51,0
2018,"Black-crowned Night-Heron",Nycticorax nycticorax,2,33.91,0.058979652020053085
2019,"Black-crowned Night-Heron",Nycticorax nycticorax,0,45.6,0
2014,"Yellow-crowned Night-Heron",Nyctanassa violacea,10,56.5,0.17699115044247787
2015,"Yellow-crowned Night-Heron",Nyctanassa violacea,2,85.5,0.023391812865497075
2016,"Yellow-crowned Night-Heron",Nyctanassa violacea,3,73.75,0.04067796610169491
2017,"Yellow-crowned Night-Heron",Nyctanassa violacea,0,51,0
2018,"Yellow-crowned Night-Heron",Nyctanassa violacea,0,33.91,0
2019,"Yellow-crowned Night-Heron",Nyctanassa violacea,3,45.6,0.06578947368421052
2014,"Boat-billed Heron",Cochlearius cochlearius,0,56.5,0
2015,"Boat-billed Heron",Cochlearius cochlearius,3,85.5,0.03508771929824561
2016,"Boat-billed Heron",Cochlearius cochlearius,0,73.75,0
2017,"Boat-billed Heron",Cochlearius cochlearius,0,51,0
2018,"Boat-billed Heron",Cochlearius cochlearius,0,33.91,0
2019,"Boat-billed Heron",Cochlearius cochlearius,1,45.6,0.021929824561403508
2014,"White Ibis",Eudocimus albus,30,56.5,0.5309734513274337
2015,"White Ibis",Eudocimus albus,4,85.5,0.04678362573099415
2016,"White Ibis",Eudocimus albus,14,73.75,0.18983050847457628
2017,"White Ibis",Eudocimus albus,0,51,0
2018,"White Ibis",Eudocimus albus,8,33.91,0.23591860808021234
2019,"White Ibis",Eudocimus albus,1,45.6,0.021929824561403508
2014,"Roseate Spoonbill",Platalea ajaja,0,56.5,0
2015,"Roseate Spoonbill",Platalea ajaja,0,85.5,0
2016,"Roseate Spoonbill",Platalea ajaja,0,73.75,0
2017,"Roseate Spoonbill",Platalea ajaja,0,51,0
2018,"Roseate Spoonbill",Platalea ajaja,2,33.91,0.058979652020053085
2019,"Roseate Spoonbill",Platalea ajaja,0,45.6,0
2014,"Black Vulture",Coragyps atratus,132,56.5,2.336283185840708
2015,"Black Vulture",Coragyps atratus,207,85.5,2.4210526315789473
2016,"Black Vulture",Coragyps atratus,118,73.75,1.6
2017,"Black Vulture",Coragyps atratus,125,51,2.450980392156863
2018,"Black Vulture",Coragyps atratus,91,33.91,2.6835741669124156
2019,"Black Vulture",Coragyps atratus,191,45.6,4.18859649122807
2014,"Turkey Vulture",Cathartes aura,43,56.5,0.7610619469026548
2015,"Turkey Vulture",Cathartes aura,81,85.5,0.9473684210526315
2016,"Turkey Vulture",Cathartes aura,74,73.75,1.0033898305084745
2017,"Turkey Vulture",Cathartes aura,46,51,0.9019607843137255
2018,"Turkey Vulture",Cathartes aura,45,33.91,1.3270421704511945
2019,"Turkey Vulture",Cathartes aura,89,45.6,1.9517543859649122
2014,"King Vulture",Sarcoramphus papa,3,56.5,0.05309734513274336
2015,"King Vulture",Sarcoramphus papa,7,85.5,0.08187134502923976
2016,"King Vulture",Sarcoramphus papa,1,73.75,0.013559322033898305
2017,"King Vulture",Sarcoramphus papa,2,51,0.0392156862745098
2018,"King Vulture",Sarcoramphus papa,4,33.91,0.11795930404010617
2019,"King Vulture",Sarcoramphus papa,1,45.6,0.021929824561403508
2014,"Osprey",Pandion haliaetus,5,56.5,0.08849557522123894
2015,"Osprey",Pandion haliaetus,9,85.5,0.10526315789473684
2016,"Osprey",Pandion haliaetus,7,73.75,0.09491525423728814
2017,"Osprey",Pandion haliaetus,1,51,0.0196078431372549
2018,"Osprey",Pandion haliaetus,4,33.91,0.11795930404010617
2019,"Osprey",Pandion haliaetus,6,45.6,0.13157894736842105
2014,"White-tailed Kite",Elanus leucurus,0,56.5,0
2015,"White-tailed Kite",Elanus leucurus,1,85.5,0.011695906432748537
2016,"White-tailed Kite",Elanus leucurus,0,73.75,0
2017,"White-tailed Kite",Elanus leucurus,0,51,0
2018,"White-tailed Kite",Elanus leucurus,2,33.91,0.058979652020053085
2019,"White-tailed Kite",Elanus leucurus,0,45.6,0
2014,"Hook-billed Kite",Chondrohierax uncinatus,0,56.5,0
2015,"Hook-billed Kite",Chondrohierax uncinatus,0,85.5,0
2016,"Hook-billed Kite",Chondrohierax uncinatus,0,73.75,0
2017,"Hook-billed Kite",Chondrohierax uncinatus,0,51,0
2018,"Hook-billed Kite",Chondrohierax uncinatus,0,33.91,0
2019,"Hook-billed Kite",Chondrohierax uncinatus,1,45.6,0.021929824561403508
2014,"Mississippi Kite",Ictinia mississippiensis,0,56.5,0
2015,"Mississippi Kite",Ictinia mississippiensis,0,85.5,0
2016,"Mississippi Kite",Ictinia mississippiensis,0,73.75,0
2017,"Mississippi Kite",Ictinia mississippiensis,0,51,0
2018,"Mississippi Kite",Ictinia mississippiensis,0,33.91,0
2019,"Mississippi Kite",Ictinia mississippiensis,2,45.6,0.043859649122807015
2014,"Northern Harrier",Circus cyaneus,0,56.5,0
2015,"Northern Harrier",Circus cyaneus,1,85.5,0.011695906432748537
2016,"Northern Harrier",Circus cyaneus,0,73.75,0
2017,"Northern Harrier",Circus cyaneus,0,51,0
2018,"Northern Harrier",Circus cyaneus,0,33.91,0
2019,"Northern Harrier",Circus cyaneus,0,45.6,0
2014,"Sharp-shinned Hawk",Accipiter striatus,0,56.5,0
2015,"Sharp-shinned Hawk",Accipiter striatus,0,85.5,0
2016,"Sharp-shinned Hawk",Accipiter striatus,0,73.75,0
2017,"Sharp-shinned Hawk",Accipiter striatus,0,51,0
2018,"Sharp-shinned Hawk",Accipiter striatus,0,33.91,0
2019,"Sharp-shinned Hawk",Accipiter striatus,1,45.6,0.021929824561403508
2014,"Crane Hawk",Geranospiza caerulescens,0,56.5,0
2015,"Crane Hawk",Geranospiza caerulescens,1,85.5,0.011695906432748537
2016,"Crane Hawk",Geranospiza caerulescens,0,73.75,0
2017,"Crane Hawk",Geranospiza caerulescens,2,51,0.0392156862745098
2018,"Crane Hawk",Geranospiza caerulescens,0,33.91,0
2019,"Crane Hawk",Geranospiza caerulescens,0,45.6,0
2014,"Common Black Hawk",Buteogallus anthracinus,0,56.5,0
2015,"Common Black Hawk",Buteogallus anthracinus,5,85.5,0.05847953216374269
2016,"Common Black Hawk",Buteogallus anthracinus,0,73.75,0
2017,"Common Black Hawk",Buteogallus anthracinus,8,51,0.1568627450980392
2018,"Common Black Hawk",Buteogallus anthracinus,1,33.91,0.029489826010026542
2019,"Common Black Hawk",Buteogallus anthracinus,8,45.6,0.17543859649122806
2014,"Great Black Hawk",Buteogallus urubitinga,1,56.5,0.017699115044247787
2015,"Great Black Hawk",Buteogallus urubitinga,0,85.5,0
2016,"Great Black Hawk",Buteogallus urubitinga,0,73.75,0
2017,"Great Black Hawk",Buteogallus urubitinga,0,51,0
2018,"Great Black Hawk",Buteogallus urubitinga,1,33.91,0.029489826010026542
2019,"Great Black Hawk",Buteogallus urubitinga,0,45.6,0
2014,"Roadside Hawk",Rupornis magnirostris,6,56.5,0.10619469026548672
2015,"Roadside Hawk",Rupornis magnirostris,7,85.5,0.08187134502923976
2016,"Roadside Hawk",Rupornis magnirostris,7,73.75,0.09491525423728814
2017,"Roadside Hawk",Rupornis magnirostris,6,51,0.11764705882352941
2018,"Roadside Hawk",Rupornis magnirostris,2,33.91,0.058979652020053085
2019,"Roadside Hawk",Rupornis magnirostris,7,45.6,0.15350877192982457
2014,"Harris's Hawk",Parabuteo unicinctus,0,56.5,0
2015,"Harris's Hawk",Parabuteo unicinctus,0,85.5,0
2016,"Harris's Hawk",Parabuteo unicinctus,2,73.75,0.02711864406779661
2017,"Harris's Hawk",Parabuteo unicinctus,0,51,0
2018,"Harris's Hawk",Parabuteo unicinctus,0,33.91,0
2019,"Harris's Hawk",Parabuteo unicinctus,0,45.6,0
2014,"White-tailed Hawk",Geranoaetus albicaudatus,0,56.5,0
2015,"White-tailed Hawk",Geranoaetus albicaudatus,0,85.5,0
2016,"White-tailed Hawk",Geranoaetus albicaudatus,0,73.75,0
2017,"White-tailed Hawk",Geranoaetus albicaudatus,0,51,0
2018,"White-tailed Hawk",Geranoaetus albicaudatus,1,33.91,0.029489826010026542
2019,"White-tailed Hawk",Geranoaetus albicaudatus,0,45.6,0
2014,"Gray Hawk",Buteo plagiatus,0,56.5,0
2015,"Gray Hawk",Buteo plagiatus,3,85.5,0.03508771929824561
2016,"Gray Hawk",Buteo plagiatus,6,73.75,0.08135593220338982
2017,"Gray Hawk",Buteo plagiatus,4,51,0.0784313725490196
2018,"Gray Hawk",Buteo plagiatus,5,33.91,0.14744913005013272
2019,"Gray Hawk",Buteo plagiatus,5,45.6,0.10964912280701754
2014,"Broad-winged Hawk",Buteo platypterus,5,56.5,0.08849557522123894
2015,"Broad-winged Hawk",Buteo platypterus,11,85.5,0.1286549707602339
2016,"Broad-winged Hawk",Buteo platypterus,5,73.75,0.06779661016949153
2017,"Broad-winged Hawk",Buteo platypterus,5,51,0.09803921568627451
2018,"Broad-winged Hawk",Buteo platypterus,8,33.91,0.23591860808021234
2019,"Broad-winged Hawk",Buteo platypterus,5,45.6,0.10964912280701754
2014,"Short-tailed Hawk",Buteo brachyurus,1,56.5,0.017699115044247787
2015,"Short-tailed Hawk",Buteo brachyurus,1,85.5,0.011695906432748537
2016,"Short-tailed Hawk",Buteo brachyurus,2,73.75,0.02711864406779661
2017,"Short-tailed Hawk",Buteo brachyurus,2,51,0.0392156862745098
2018,"Short-tailed Hawk",Buteo brachyurus,0,33.91,0
2019,"Short-tailed Hawk",Buteo brachyurus,0,45.6,0
2014,"Swainson's Hawk",Buteo swainsoni,3,56.5,0.05309734513274336
2015,"Swainson's Hawk",Buteo swainsoni,0,85.5,0
2016,"Swainson's Hawk",Buteo swainsoni,0,73.75,0
2017,"Swainson's Hawk",Buteo swainsoni,0,51,0
2018,"Swainson's Hawk",Buteo swainsoni,0,33.91,0
2019,"Swainson's Hawk",Buteo swainsoni,1,45.6,0.021929824561403508
2014,"Zone-tailed Hawk",Buteo albonotatus,3,56.5,0.05309734513274336
2015,"Zone-tailed Hawk",Buteo albonotatus,0,85.5,0
2016,"Zone-tailed Hawk",Buteo albonotatus,2,73.75,0.02711864406779661
2017,"Zone-tailed Hawk",Buteo albonotatus,1,51,0.0196078431372549
2018,"Zone-tailed Hawk",Buteo albonotatus,2,33.91,0.058979652020053085
2019,"Zone-tailed Hawk",Buteo albonotatus,0,45.6,0
2014,"Red-tailed Hawk",Buteo jamaicensis,1,56.5,0.017699115044247787
2015,"Red-tailed Hawk",Buteo jamaicensis,0,85.5,0
2016,"Red-tailed Hawk",Buteo jamaicensis,0,73.75,0
2017,"Red-tailed Hawk",Buteo jamaicensis,0,51,0
2018,"Red-tailed Hawk",Buteo jamaicensis,1,33.91,0.029489826010026542
2019,"Red-tailed Hawk",Buteo jamaicensis,0,45.6,0
2014,"Double-striped Thick-knee",Burhinus bistriatus,0,56.5,0
2015,"Double-striped Thick-knee",Burhinus bistriatus,0,85.5,0
2016,"Double-striped Thick-knee",Burhinus bistriatus,6,73.75,0.08135593220338982
2017,"Double-striped Thick-knee",Burhinus bistriatus,0,51,0
2018,"Double-striped Thick-knee",Burhinus bistriatus,5,33.91,0.14744913005013272
2019,"Double-striped Thick-knee",Burhinus bistriatus,1,45.6,0.021929824561403508
2014,"Black-necked Stilt",Himantopus mexicanus,0,56.5,0
2015,"Black-necked Stilt",Himantopus mexicanus,8,85.5,0.0935672514619883
2016,"Black-necked Stilt",Himantopus mexicanus,0,73.75,0
2017,"Black-necked Stilt",Himantopus mexicanus,0,51,0
2018,"Black-necked Stilt",Himantopus mexicanus,2,33.91,0.058979652020053085
2019,"Black-necked Stilt",Himantopus mexicanus,0,45.6,0
2014,"American Oystercatcher",Haematopus palliatus,2,56.5,0.035398230088495575
2015,"American Oystercatcher",Haematopus palliatus,0,85.5,0
2016,"American Oystercatcher",Haematopus palliatus,14,73.75,0.18983050847457628
2017,"American Oystercatcher",Haematopus palliatus,3,51,0.058823529411764705
2018,"American Oystercatcher",Haematopus palliatus,1,33.91,0.029489826010026542
2019,"American Oystercatcher",Haematopus palliatus,8,45.6,0.17543859649122806
2014,"Killdeer",Charadrius vociferus,0,56.5,0
2015,"Killdeer",Charadrius vociferus,2,85.5,0.023391812865497075
2016,"Killdeer",Charadrius vociferus,0,73.75,0
2017,"Killdeer",Charadrius vociferus,0,51,0
2018,"Killdeer",Charadrius vociferus,0,33.91,0
2019,"Killdeer",Charadrius vociferus,6,45.6,0.13157894736842105
2014,"Northern Jacana",Jacana spinosa,3,56.5,0.05309734513274336
2015,"Northern Jacana",Jacana spinosa,5,85.5,0.05847953216374269
2016,"Northern Jacana",Jacana spinosa,0,73.75,0
2017,"Northern Jacana",Jacana spinosa,2,51,0.0392156862745098
2018,"Northern Jacana",Jacana spinosa,7,33.91,0.2064287820701858
2019,"Northern Jacana",Jacana spinosa,4,45.6,0.08771929824561403
2014,"Spotted Sandpiper",Actitis macularius,12,56.5,0.21238938053097345
2015,"Spotted Sandpiper",Actitis macularius,5,85.5,0.05847953216374269
2016,"Spotted Sandpiper",Actitis macularius,15,73.75,0.2033898305084746
2017,"Spotted Sandpiper",Actitis macularius,1,51,0.0196078431372549
2018,"Spotted Sandpiper",Actitis macularius,4,33.91,0.11795930404010617
2019,"Spotted Sandpiper",Actitis macularius,9,45.6,0.19736842105263158
2014,"Greater Yellowlegs",Tringa melanoleuca,0,56.5,0
2015,"Greater Yellowlegs",Tringa melanoleuca,0,85.5,0
2016,"Greater Yellowlegs",Tringa melanoleuca,0,73.75,0
2017,"Greater Yellowlegs",Tringa melanoleuca,2,51,0.0392156862745098
2018,"Greater Yellowlegs",Tringa melanoleuca,1,33.91,0.029489826010026542
2019,"Greater Yellowlegs",Tringa melanoleuca,0,45.6,0
2014,"Willet",Tringa semipalmata,1,56.5,0.017699115044247787
2015,"Willet",Tringa semipalmata,2,85.5,0.023391812865497075
2016,"Willet",Tringa semipalmata,7,73.75,0.09491525423728814
2017,"Willet",Tringa semipalmata,1,51,0.0196078431372549
2018,"Willet",Tringa semipalmata,0,33.91,0
2019,"Willet",Tringa semipalmata,5,45.6,0.10964912280701754
2014,"Whimbrel",Numenius phaeopus,0,56.5,0
2015,"Whimbrel",Numenius phaeopus,1,85.5,0.011695906432748537
2016,"Whimbrel",Numenius phaeopus,7,73.75,0.09491525423728814
2017,"Whimbrel",Numenius phaeopus,1,51,0.0196078431372549
2018,"Whimbrel",Numenius phaeopus,0,33.91,0
2019,"Whimbrel",Numenius phaeopus,0,45.6,0
2014,"Least Sandpiper",Calidris minutilla,0,56.5,0
2015,"Least Sandpiper",Calidris minutilla,0,85.5,0
2016,"Least Sandpiper",Calidris minutilla,0,73.75,0
2017,"Least Sandpiper",Calidris minutilla,0,51,0
2018,"Least Sandpiper",Calidris minutilla,1,33.91,0.029489826010026542
2019,"Least Sandpiper",Calidris minutilla,0,45.6,0
2014,"Laughing Gull",Leucophaeus atricilla,3,56.5,0.05309734513274336
2015,"Laughing Gull",Leucophaeus atricilla,61,85.5,0.7134502923976608
2016,"Laughing Gull",Leucophaeus atricilla,134,73.75,1.8169491525423729
2017,"Laughing Gull",Leucophaeus atricilla,143,51,2.803921568627451
2018,"Laughing Gull",Leucophaeus atricilla,60,33.91,1.7693895606015926
2019,"Laughing Gull",Leucophaeus atricilla,30,45.6,0.6578947368421052
2014,"Franklin's Gull",Leucophaeus pipixcan,0,56.5,0
2015,"Franklin's Gull",Leucophaeus pipixcan,14,85.5,0.16374269005847952
2016,"Franklin's Gull",Leucophaeus pipixcan,0,73.75,0
2017,"Franklin's Gull",Leucophaeus pipixcan,0,51,0
2018,"Franklin's Gull",Leucophaeus pipixcan,0,33.91,0
2019,"Franklin's Gull",Leucophaeus pipixcan,8,45.6,0.17543859649122806
2014,"Gull-billed Tern",Gelochelidon nilotica,0,56.5,0
2015,"Gull-billed Tern",Gelochelidon nilotica,14,85.5,0.16374269005847952
2016,"Gull-billed Tern",Gelochelidon nilotica,0,73.75,0
2017,"Gull-billed Tern",Gelochelidon nilotica,0,51,0
2018,"Gull-billed Tern",Gelochelidon nilotica,0,33.91,0
2019,"Gull-billed Tern",Gelochelidon nilotica,0,45.6,0
2014,"Black Tern",Chlidonias niger,0,56.5,0
2015,"Black Tern",Chlidonias niger,119,85.5,1.391812865497076
2016,"Black Tern",Chlidonias niger,0,73.75,0
2017,"Black Tern",Chlidonias niger,0,51,0
2018,"Black Tern",Chlidonias niger,0,33.91,0
2019,"Black Tern",Chlidonias niger,0,45.6,0
2014,"Common Tern",Sterna hirundo,0,56.5,0
2015,"Common Tern",Sterna hirundo,1,85.5,0.011695906432748537
2016,"Common Tern",Sterna hirundo,0,73.75,0
2017,"Common Tern",Sterna hirundo,0,51,0
2018,"Common Tern",Sterna hirundo,0,33.91,0
2019,"Common Tern",Sterna hirundo,0,45.6,0
2014,"Forster's Tern",Sterna forsteri,0,56.5,0
2015,"Forster's Tern",Sterna forsteri,6,85.5,0.07017543859649122
2016,"Forster's Tern",Sterna forsteri,0,73.75,0
2017,"Forster's Tern",Sterna forsteri,0,51,0
2018,"Forster's Tern",Sterna forsteri,0,33.91,0
2019,"Forster's Tern",Sterna forsteri,0,45.6,0
2014,"Royal Tern",Thalasseus maximus,0,56.5,0
2015,"Royal Tern",Thalasseus maximus,37,85.5,0.4327485380116959
2016,"Royal Tern",Thalasseus maximus,68,73.75,0.9220338983050848
2017,"Royal Tern",Thalasseus maximus,142,51,2.784313725490196
2018,"Royal Tern",Thalasseus maximus,40,33.91,1.1795930404010617
2019,"Royal Tern",Thalasseus maximus,146,45.6,3.2017543859649122
2014,"Sandwich Tern",Thalasseus sandvicensis,0,56.5,0
2015,"Sandwich Tern",Thalasseus sandvicensis,7,85.5,0.08187134502923976
2016,"Sandwich Tern",Thalasseus sandvicensis,0,73.75,0
2017,"Sandwich Tern",Thalasseus sandvicensis,1,51,0.0196078431372549
2018,"Sandwich Tern",Thalasseus sandvicensis,0,33.91,0
2019,"Sandwich Tern",Thalasseus sandvicensis,11,45.6,0.2412280701754386
2014,"Elegant Tern",Thalasseus elegans,0,56.5,0
2015,"Elegant Tern",Thalasseus elegans,20,85.5,0.23391812865497075
2016,"Elegant Tern",Thalasseus elegans,13,73.75,0.17627118644067796
2017,"Elegant Tern",Thalasseus elegans,0,51,0
2018,"Elegant Tern",Thalasseus elegans,0,33.91,0
2019,"Elegant Tern",Thalasseus elegans,36,45.6,0.7894736842105263
2014,"Rock Pigeon (Feral Pigeon)",Columba livia (Feral Pigeon),6,56.5,0.10619469026548672
